,Stromverbrauch
2050-07-01 00:00:00,130.5957708333334
2050-07-01 01:00:00,133.32543733333333
2050-07-01 02:00:00,136.2255593333333
2050-07-01 03:00:00,140.73224633333336
2050-07-01 04:00:00,151.58389483333335
2050-07-01 05:00:00,161.50410133333335
2050-07-01 06:00:00,217.62205340541536
2050-07-01 07:00:00,750.1593066383458
2050-07-01 08:00:00,409.49680148970367
2050-07-01 09:00:00,302.0805650083453
2050-07-01 10:00:00,279.46908563554575
2050-07-01 11:00:00,721.7906338885296
2050-07-01 12:00:00,535.016680514235
2050-07-01 13:00:00,208.8092586666667
2050-07-01 14:00:00,202.81681766666668
2050-07-01 15:00:00,213.85781548964047
2050-07-01 16:00:00,221.4389227244258
2050-07-01 17:00:00,251.7057910287638
2050-07-01 18:00:00,332.7478098319447
2050-07-01 19:00:00,867.2785612035609
2050-07-01 20:00:00,433.9727258456893
2050-07-01 21:00:00,252.74095140934594
2050-07-01 22:00:00,171.96273726286708
2050-07-01 23:00:00,142.00372166666673
2050-07-02 00:00:00,255.90413083333357
2050-07-02 01:00:00,263.98825850000003
2050-07-02 02:00:00,270.71029933333335
2050-07-02 03:00:00,281.66145183333333
2050-07-02 04:00:00,287.1214585000001
2050-07-02 05:00:00,322.1393556666667
2050-07-02 06:00:00,365.1483682696444
2050-07-02 07:00:00,957.3751938146626
2050-07-02 08:00:00,781.9960483724702
2050-07-02 09:00:00,672.0796688145385
2050-07-02 10:00:00,723.1125433381474
2050-07-02 11:00:00,1405.8648458814619
2050-07-02 12:00:00,1434.6083370404647
2050-07-02 13:00:00,692.2616800144425
2050-07-02 14:00:00,432.56969422907736
2050-07-02 15:00:00,431.85202452031166
2050-07-02 16:00:00,442.9438040288007
2050-07-02 17:00:00,547.9619768337541
2050-07-02 18:00:00,780.2076453050263
2050-07-02 19:00:00,1655.4534872560403
2050-07-02 20:00:00,823.009165238813
2050-07-02 21:00:00,473.96423416229294
2050-07-02 22:00:00,366.593248976242
2050-07-02 23:00:00,284.8706318333337
2050-07-03 00:00:00,262.9531093333336
2050-07-03 01:00:00,268.4493926666667
2050-07-03 02:00:00,282.260296
2050-07-03 03:00:00,291.8188005
2050-07-03 04:00:00,298.0431213333334
2050-07-03 05:00:00,331.6235025
2050-07-03 06:00:00,379.9579948549928
2050-07-03 07:00:00,1044.9951043898614
2050-07-03 08:00:00,678.1818208312401
2050-07-03 09:00:00,629.724646987991
2050-07-03 10:00:00,683.8576984011944
2050-07-03 11:00:00,1330.7365802812599
2050-07-03 12:00:00,1314.5005304126212
2050-07-03 13:00:00,690.1059809446626
2050-07-03 14:00:00,427.8411454191243
2050-07-03 15:00:00,443.6361717881609
2050-07-03 16:00:00,466.24369788194656
2050-07-03 17:00:00,609.8923623414022
2050-07-03 18:00:00,782.7766238529304
2050-07-03 19:00:00,1457.2038466397316
2050-07-03 20:00:00,766.3098010537934
2050-07-03 21:00:00,534.0845024975762
