,Stromverbrauch
2050-12-01 00:00:00,123.19180416666669
2050-12-01 01:00:00,129.88125816666667
2050-12-01 02:00:00,137.59953016666668
2050-12-01 03:00:00,144.26617016666668
2050-12-01 04:00:00,152.13174300000003
2050-12-01 05:00:00,170.7656168333334
2050-12-01 06:00:00,218.8609490820189
2050-12-01 07:00:00,798.3049870138819
2050-12-01 08:00:00,429.7250385727213
2050-12-01 09:00:00,294.7593502205319
2050-12-01 10:00:00,296.3297523808947
2050-12-01 11:00:00,673.100143831401
2050-12-01 12:00:00,586.4873949046922
2050-12-01 13:00:00,213.83333050000007
2050-12-01 14:00:00,203.916197
2050-12-01 15:00:00,225.1676902305537
2050-12-01 16:00:00,246.50344218133037
2050-12-01 17:00:00,261.41712868178706
2050-12-01 18:00:00,326.243518153997
2050-12-01 19:00:00,737.9202866033623
2050-12-01 20:00:00,410.6016026396256
2050-12-01 21:00:00,242.29356005209723
2050-12-01 22:00:00,163.8301406666668
2050-12-01 23:00:00,132.71085866666675
2050-12-02 00:00:00,124.89144750000006
2050-12-02 01:00:00,126.99357300000004
2050-12-02 02:00:00,135.20250066666668
2050-12-02 03:00:00,142.65633400000002
2050-12-02 04:00:00,150.5537356666667
2050-12-02 05:00:00,168.2051043333334
2050-12-02 06:00:00,226.73249572842005
2050-12-02 07:00:00,703.7185840683642
2050-12-02 08:00:00,494.41552294566316
2050-12-02 09:00:00,340.9789051901288
2050-12-02 10:00:00,275.60098995168227
2050-12-02 11:00:00,690.9535513525711
2050-12-02 12:00:00,470.1967548145822
2050-12-02 13:00:00,213.1830086666667
2050-12-02 14:00:00,205.60334900000004
2050-12-02 15:00:00,204.4895015236023
2050-12-02 16:00:00,235.3111455719732
2050-12-02 17:00:00,258.2056320150569
2050-12-02 18:00:00,336.41567256991794
2050-12-02 19:00:00,788.1035728522172
2050-12-02 20:00:00,398.1518686777946
2050-12-02 21:00:00,264.54481516464534
2050-12-02 22:00:00,165.2756402145512
2050-12-02 23:00:00,142.08035950000013
2050-12-03 00:00:00,264.7669046666669
2050-12-03 01:00:00,258.3782646666667
2050-12-03 02:00:00,280.56185200000004
2050-12-03 03:00:00,292.8890415000001
2050-12-03 04:00:00,303.9856121666667
2050-12-03 05:00:00,339.3955543325681
2050-12-03 06:00:00,400.8345262319395
2050-12-03 07:00:00,883.4781733590003
2050-12-03 08:00:00,645.4868244072469
2050-12-03 09:00:00,613.1592644876791
2050-12-03 10:00:00,779.080783660194
2050-12-03 11:00:00,1350.4222523812598
2050-12-03 12:00:00,1443.791918788528
2050-12-03 13:00:00,733.4169766293461
