,Stromverbrauch
2050-09-01 00:00:00,4.203576283333333
2050-09-01 01:00:00,4.033839133333333
2050-09-01 02:00:00,4.213422616666667
2050-09-01 03:00:00,4.434820950000001
2050-09-01 04:00:00,4.839304916666666
2050-09-01 05:00:00,5.520681716666667
2050-09-01 06:00:00,6.685464361441436
2050-09-01 07:00:00,17.379705374518085
2050-09-01 08:00:00,13.656993487145016
2050-09-01 09:00:00,10.069530399136804
2050-09-01 10:00:00,9.63691932289142
2050-09-01 11:00:00,18.916030904378356
2050-09-01 12:00:00,18.188112931137216
2050-09-01 13:00:00,6.588439783333334
2050-09-01 14:00:00,6.53690275
2050-09-01 15:00:00,6.678343283987215
2050-09-01 16:00:00,6.93525330669292
2050-09-01 17:00:00,9.64808806761162
2050-09-01 18:00:00,10.196695312132826
2050-09-01 19:00:00,24.930777851597732
2050-09-01 20:00:00,14.75256156321568
2050-09-01 21:00:00,7.010280316113627
2050-09-01 22:00:00,5.3820484833333335
2050-09-01 23:00:00,4.370297666666667
2050-09-02 00:00:00,4.27732675
2050-09-02 01:00:00,3.9347894833333337
2050-09-02 02:00:00,4.536355666666667
2050-09-02 03:00:00,4.699205200000001
2050-09-02 04:00:00,4.976272316666667
2050-09-02 05:00:00,5.453202254479007
2050-09-02 06:00:00,7.991551209593131
2050-09-02 07:00:00,20.793152819266858
2050-09-02 08:00:00,16.545892002102008
2050-09-02 09:00:00,9.833693639109105
2050-09-02 10:00:00,7.605527624689266
2050-09-02 11:00:00,19.966294535821614
2050-09-02 12:00:00,13.926042467411381
2050-09-02 13:00:00,6.562906233333333
2050-09-02 14:00:00,6.603971933333335
2050-09-02 15:00:00,8.21029369040714
2050-09-02 16:00:00,8.195017195941785
2050-09-02 17:00:00,8.549641868976945
2050-09-02 18:00:00,10.206434386991408
2050-09-02 19:00:00,23.608117875340287
2050-09-02 20:00:00,12.496291204170495
2050-09-02 21:00:00,6.1376826333935135
2050-09-02 22:00:00,5.040053
2050-09-02 23:00:00,4.585080799999999
2050-09-03 00:00:00,7.93892441666667
2050-09-03 01:00:00,8.041481966666668
2050-09-03 02:00:00,8.1998577
2050-09-03 03:00:00,8.575624783333334
2050-09-03 04:00:00,9.082443733333335
2050-09-03 05:00:00,10.112812716666669
2050-09-03 06:00:00,11.660617524868337
2050-09-03 07:00:00,22.942958322787202
2050-09-03 08:00:00,18.443849151124425
2050-09-03 09:00:00,18.442055693608648
2050-09-03 10:00:00,25.232358657240617
2050-09-03 11:00:00,39.207600146842665
2050-09-03 12:00:00,39.15994679993785
2050-09-03 13:00:00,18.925440598445675
2050-09-03 14:00:00,13.184444116666672
2050-09-03 15:00:00,13.299767086212425
2050-09-03 16:00:00,16.821220648384582
2050-09-03 17:00:00,18.341519772525125
2050-09-03 18:00:00,27.849733686728616
2050-09-03 19:00:00,44.98448751120437
2050-09-03 20:00:00,22.68357522650779
2050-09-03 21:00:00,14.584263273683677
2050-09-03 22:00:00,11.079394973943234
2050-09-03 23:00:00,8.709630183333335
2050-09-04 00:00:00,7.745300566666669
2050-09-04 01:00:00,7.807197216666667
2050-09-04 02:00:00,8.430729283333333
2050-09-04 03:00:00,8.727677933333334
2050-09-04 04:00:00,9.1595746
2050-09-04 05:00:00,10.524428250000001
2050-09-04 06:00:00,12.934827859167424
2050-09-04 07:00:00,33.255261981684676
2050-09-04 08:00:00,19.614541509360176
2050-09-04 09:00:00,18.68706622846829
2050-09-04 10:00:00,22.12674127703707
2050-09-04 11:00:00,32.822740611502276
2050-09-04 12:00:00,39.351973329707945
2050-09-04 13:00:00,22.573313937126365
2050-09-04 14:00:00,15.224188479090541
2050-09-04 15:00:00,13.690428050962455
2050-09-04 16:00:00,14.69659639170412
2050-09-04 17:00:00,20.60670495169877
2050-09-04 18:00:00,27.517738367835996
2050-09-04 19:00:00,45.75451522398539
2050-09-04 20:00:00,24.0810971694762
2050-09-04 21:00:00,13.81173134891386
2050-09-04 22:00:00,9.922484005012608
2050-09-04 23:00:00,8.555900133333335
2050-09-05 00:00:00,3.881725733333333
2050-09-05 01:00:00,4.121392450000001
2050-09-05 02:00:00,4.233756983333334
2050-09-05 03:00:00,4.585356383333333
2050-09-05 04:00:00,4.756939249999999
2050-09-05 05:00:00,5.099063699999999
2050-09-05 06:00:00,6.24707341095781
2050-09-05 07:00:00,23.063214784828887
2050-09-05 08:00:00,17.72239257326706
2050-09-05 09:00:00,11.258728987502334
2050-09-05 10:00:00,10.603042104152703
2050-09-05 11:00:00,22.70088849378887
2050-09-05 12:00:00,14.045527140478574
2050-09-05 13:00:00,6.359239933333334
2050-09-05 14:00:00,6.303886116666667
2050-09-05 15:00:00,6.758318125128209
2050-09-05 16:00:00,8.388105392496977
2050-09-05 17:00:00,7.888838027007827
2050-09-05 18:00:00,10.153457588160459
2050-09-05 19:00:00,24.91374158791637
2050-09-05 20:00:00,15.361957944172802
2050-09-05 21:00:00,8.595093074385758
2050-09-05 22:00:00,4.7268008166666675
2050-09-05 23:00:00,4.1210794
2050-09-06 00:00:00,3.793595266666666
2050-09-06 01:00:00,4.160656299999999
2050-09-06 02:00:00,4.459004333333333
2050-09-06 03:00:00,4.371156283333333
2050-09-06 04:00:00,4.648640083333334
2050-09-06 05:00:00,5.1759955
2050-09-06 06:00:00,7.684711588240947
2050-09-06 07:00:00,19.1079286341007
2050-09-06 08:00:00,13.767251825803735
2050-09-06 09:00:00,7.969895858095264
2050-09-06 10:00:00,9.597643381438314
2050-09-06 11:00:00,21.156967498798508
2050-09-06 12:00:00,12.591834645949053
