;data_PV_Aufdach_Erfurt;data_PV_Aufdach_Nordhausen;data_PV_Aufdach_Gera;data_PV_Aufdach_Hildburghausen
276;0,450772342;0,210850192;0,507976698;0,130523305
277;0,404285526;0,184827592;0,43201725;0,091690224
278;0,313156343;0,102448697;0,319477066;0,211165145
279;0,149426724;0,059635607;0,139167648;0,087668317
280;0,00071057;0,000503385;0,000542889;0,003993903
281;0;0;0;0
282;0;0;0;0
283;0;0;0;0
284;0;0;0;0
285;0;0;0;0
286;0;0;0;0
287;0;0;0;0
288;0;0;0;0
289;0;0;0;0
290;0;0;0;0
291;0;0;0;0
292;0;0;0;0
293;0;0;0;0
294;0;0;0;0
295;0;0;0;0
296;0;0;0;0
297;0,112279168;0,124918449;0,133107217;0,075635104
298;0,228335842;0,202644809;0,250053849;0,164834842
299;0,291116882;0,246284289;0,308540889;0,232768776
300;0,271271013;0,247729026;0,29836946;0,270406579
301;0,282604733;0,238959474;0,289583775;0,240243845
302;0,206215236;0,195366947;0,166311845;0,156759967
303;0,055107561;0,111868381;0,056072163;0,086441495
304;0,000641832;0,000597736;0,000463173;0,001272312
305;0;0;0;0
306;0;0;0;0
307;0;0;0;0
308;0;0;0;0
309;0;0;0;0
310;0;0;0;0
311;0;0;0;0
312;0;0;0;0
313;0;0;0;0
314;0;0;0;0
315;0;0;0;0
316;0;0;0;0
317;0;0;0;0
318;0;0;0;0
319;0;0;0;0
320;0;0;0;0
321;0;0,021144205;0,002047898;0,018243415
322;0,007856527;0,04970593;0,010691558;0,039572546
323;0,018556922;0,072521937;0,019100144;0,057929373
324;0,022323351;0,08058405;0,022132405;0,062806804
325;0,020579073;0,074762002;0,019926533;0,057048083
326;0,013607254;0,053534242;0,012633742;0,041018728
327;0,004046063;0,022374567;0,003629593;0,018547219
328;0;0,000426867;0;0,000571552
329;0;0;0;0
330;0;0;0;0
331;0;0;0;0
332;0;0;0;0
333;0;0;0;0
334;0;0;0;0
335;0;0;0;0
336;0;0;0;0
337;0;0;0;0
338;0;0;0;0
339;0;0;0;0
340;0;0;0;0
341;0;0;0;0
342;0;0;0;0
343;0;0;0;0
344;0;0;0;0
345;0,005355062;0,011588764;0,007438276;0,005481982
346;0,019025739;0,032004292;0,022279046;0,019584853
347;0,027962641;0,043319471;0,03232093;0,031671762
348;0,0355569;0,057751429;0,035857646;0,035178138
349;0,033401593;0,048767574;0,030254957;0,032193312
350;0,022807338;0,032704026;0,019111701;0,023969147
351;0,008645522;0,014717269;0,007365317;0,009348025
352;0,000256713;0,00039869;0,000166528;0,000442648
353;0;0;0;0
354;0;0;0;0
355;0;0;0;0
356;0;0;0;0
357;0;0;0;0
358;0;0;0;0
359;0;0;0;0
360;0;0;0;0
361;0;0;0;0
362;0;0;0;0
363;0;0;0;0
364;0;0;0;0
365;0;0;0;0
366;0;0;0;0
367;0;0;0;0
368;0;0;0;0
369;0,001868714;0;0,001945208;0,01569343
370;0,009626354;0,002778256;0,011299696;0,031748814
371;0,016350087;0,007400207;0,017800121;0,049899043
372;0,019033926;0,010227075;0,02049913;0,053971034
373;0,017899567;0,354369869;0,018820105;0,051683534
374;0,011746337;0,204179842;0,011890401;0,039002838
375;0,003387744;0,084229603;0,003161821;0,020668646
376;0;0,001860701;0;0,000825152
377;0;0;0;0
378;0;0;0;0
379;0;0;0;0
380;0;0;0;0
381;0;0;0;0
382;0;0;0;0
383;0;0;0;0
384;0;0;0;0
385;0;0;0;0
386;0;0;0;0
387;0;0;0;0
388;0;0;0;0
389;0;0;0;0
390;0;0;0;0
391;0;0;0;0
392;0;0;0;0
393;0,049138799;0,003180684;0,162519651;0
394;0,17224875;0,021323088;0,305094711;0,004149429
395;0,294855379;0,031229311;0,35647196;0,011048769
396;0,379857434;0,051758179;0,348667974;0,013606917
397;0,389479382;0,421121526;0,362768846;0,339881566
398;0,44286;0,305364395;0,245694355;0,292460487
399;0,21631804;0,15332968;0,09242102;0,127778064
400;0,008741959;0,000950365;0,000872284;0,00229991
401;0;0;0;0
402;0;0;0;0
403;0;0;0;0
404;0;0;0;0
405;0;0;0;0
406;0;0;0;0
407;0;0;0;0
408;0;0;0;0
409;0;0;0;0
410;0;0;0;0
411;0;0;0;0
412;0;0;0;0
413;0;0;0;0
414;0;0;0;0
415;0;0;0;0
416;0;0;0;0
417;0,150299586;0,045400855;0,029056644;0
418;0,266748987;0,094866959;0,096301102;0,00392576
419;0,317095658;0,243763224;0,204052224;0,011062711
420;0,326113224;0,171628958;0,339816553;0,013826108
421;0,28894496;0,053173298;0,349672066;0,424665948
422;0,218113125;0,059233007;0,431795724;0,272417653
423;0,098324696;0,035554251;0,216428802;0,132883524
424;0,001184742;0,001090981;0,007010971;0,004145954
425;0;0;0;0
426;0;0;0;0
427;0;0;0;0
428;0;0;0;0
429;0;0;0;0
430;0;0;0;0
431;0;0;0;0
432;0;0;0;0
433;0;0;0;0
434;0;0;0;0
435;0;0;0;0
436;0;0;0;0
437;0;0;0;0
438;0;0;0;0
439;0;0;0;0
440;0;0;0;0
441;0;0,055160775;0,005799728;0,001697436
442;0,00688446;0,107947366;0,022709337;0,008869408
443;0,02134984;0,138779013;0,028259053;0,016726754
444;0,025653445;0,15062104;0,030568705;0,016961235
445;0,353072014;0,132994287;0,362282211;0,394733408
446;0,297143842;0,094886223;0,253881198;0,331918658
447;0,173416579;0,036964555;0,144998365;0,169654725
448;0,003753522;0,000781913;0,00098878;0,005497537
449;0;0;0;0
450;0;0;0;0
451;0;0;0;0
452;0;0;0;0
453;0;0;0;0
454;0;0;0;0
455;0;0;0;0
456;0;0;0;0
457;0;0;0;0
458;0;0;0;0
459;0;0;0;0
460;0;0;0;0
461;0;0;0;0
462;0;0;0;0
463;0;0;0;0
464;0;0;0;0,020124582
465;0;0,144163547;0;0,167043147
466;0,004365104;0,241097684;0,003753546;0,254897329
467;0,010733865;0,299650461;0,009524404;0,499558697
468;0,011553079;0,308335737;0,011756426;0,356274513
469;0,01033324;0,297981789;0,010330687;0,10143979
470;0,006198548;0,233809228;0,005854604;0,142354255
471;0,001530494;0,092984467;0,001550768;0,125173686
472;0;0,001278457;0;0,003892747
473;0;0;0;0
474;0;0;0;0
475;0;0;0;0
476;0;0;0;0
477;0;0;0;0
478;0;0;0;0
479;0;0;0;0
480;0;0;0;0
481;0;0;0;0
482;0;0;0;0
483;0;0;0;0
484;0;0;0;0
485;0;0;0;0
486;0;0;0;0
487;0;0;0;0
488;0;0;0;0
489;0,019545026;0,024026696;0,017358947;0,107228369
490;0,041386895;0,095886221;0,038742304;0,207938084
491;0,059450921;0,200666965;0,06029826;0,259602355
492;0,067422257;0,321959605;0,066925267;0,274601132
493;0,062128259;0,317808395;0,061293683;0,226936855
494;0,04356315;0,368824461;0,039441316;0,17865977
495;0,02073703;0,21224629;0,023007193;0,072796678
496;0,000959014;0,012058735;0,001894582;0,001678115
497;0;0;0;0
498;0;0;0;0
499;0;0;0;0
500;0;0;0;0
501;0;0;0;0
502;0;0;0;0
503;0;0;0;0
504;0;0;0;0
505;0;0;0;0
506;0;0;0;0
507;0;0;0;0
508;0;0;0;0
509;0;0;0;0
510;0;0;0;0
511;0;0;0;0
512;0;0;0;0
513;0;0,020920271;0;0,022379383
514;0,003822798;0,048181251;0,003650657;0,047257342
515;0,010057656;0,074618732;0,010283155;0,064118866
516;0,012966513;0,101484817;0,011938342;0,071095259
517;0,011738968;0,101466517;0,011400659;0,065148241
518;0,006936495;0,074135949;0,007075093;0,048287199
519;0,001773383;0,039357039;0,001887999;0,024429296
520;0;0,003145012;0;0,001565425
521;0;0;0;0
522;0;0;0;0
523;0;0;0;0
524;0;0;0;0
525;0;0;0;0
526;0;0;0;0
527;0;0;0;0
528;0;0;0;0
529;0;0;0;0
530;0;0;0;0
531;0;0;0;0
532;0;0;0;0
533;0;0;0;0
534;0;0;0;0
535;0;0;0;0
536;0;0;0;0
537;0,027368373;0;0,027670322;0
538;0,057401321;0,005180128;0,054357742;0,006789565
539;0,074064675;0,011084407;0,075665925;0,013822038
540;0,081819541;0,013446647;0,08334133;0,016347197
541;0,076634862;0,012217417;0,076553716;0,015363091
542;0,057375557;0,008051856;0,053586494;0,010426907
543;0,027863436;0,002326855;0,025787517;0,003469427
544;0,001622931;0;0,001198385;0
545;0;0;0;0
546;0;0;0;0
547;0;0;0;0
548;0;0;0;0
549;0;0;0;0
550;0;0;0;0
551;0;0;0;0
552;0;0;0;0
553;0;0;0;0
554;0;0;0;0
555;0;0;0;0
556;0;0;0;0
557;0;0;0;0
558;0;0;0;0
559;0;0;0;0
560;0;0;0,003482784;0
561;0,24762645;0,016916954;0,233979948;0,017081148
562;0,333806448;0,038273246;0,366026487;0,037529447
563;0,561415105;0,054233013;0,559423776;0,052138385
564;0,565067882;0,059706158;0,567384276;0,057630793
565;0,313161158;0,054591548;0,307237737;0,053638745
566;0,340165698;0,040081575;0,320466711;0,040448297
567;0,118661294;0,020139872;0,127065087;0,021054632
568;0,003066661;0,001268937;0,001681958;0,001670838
569;0;0;0;0
570;0;0;0;0
571;0;0;0;0
572;0;0;0;0
573;0;0;0;0
574;0;0;0;0
575;0;0;0;0
576;0;0;0;0
577;0;0;0;0
578;0;0;0;0
579;0;0;0;0
580;0;0;0;0
581;0;0;0;0
582;0;0;0;0
583;0;0;0;0
584;0;0;0;0
585;0,045493776;0,164353745;0,036344041;0,004394432
586;0,081836878;0,207432427;0,070960176;0,057342087
587;0,147792485;0,326599618;0,143508841;0,134384605
588;0,155713978;0,399898342;0,150478974;0,31552571
589;0,327740961;0,381778934;0,317187158;0,343799211
590;0,234074818;0,208174299;0,226414342;0,496878711
591;0,182032749;0,099368278;0,177449803;0,281177092
592;0,004844516;0,001871464;0,003613795;0,037622462
593;0;0;0;0
594;0;0;0;0
595;0;0;0;0
596;0;0;0;0
597;0;0;0;0
598;0;0;0;0
599;0;0;0;0
600;0;0;0;0
601;0;0;0;0
602;0;0;0;0
603;0;0;0;0
604;0;0;0;0
605;0;0;0;0
606;0;0;0;0
607;0;0;0;0
608;0;0;0;0
609;0,154099966;0,067457894;0,155515327;0,14549102
610;0,319012342;0,111130362;0,313640329;0,298097369
611;0,337134158;0,261302329;0,291933158;0,314788895
612;0,300276513;0,274974355;0,269631237;0,355778487
613;0,495041487;0,484942776;0,506182816;0,295752079
614;0,441147987;0,340738776;0,450936079;0,187928961
615;0,289323;0,250582382;0,228201;0,120220165
616;0,035495311;0,008404553;0,026595318;0,002497709
617;0;0;0;0
618;0;0;0;0
619;0;0;0;0
620;0;0;0;0
621;0;0;0;0
622;0;0;0;0
623;0;0;0;0
624;0;0;0;0
625;0;0;0;0
626;0;0;0;0
627;0;0;0;0
628;0;0;0;0
629;0;0;0;0
630;0;0;0;0
631;0;0;0;0
632;0;0;0;0,011477866
633;0,008872322;0,222367394;0,009817926;0,26092429
634;0,025214992;0,400273974;0,024121567;0,443189882
635;0,037849698;0,494254106;0,035826584;0,539303408
636;0,039005246;0,528802579;0,039201731;0,576286263
637;0,034090733;0,506243013;0,035670552;0,533394434
638;0,024502978;0,360112697;0,025400882;0,428684724
639;0,014734799;0,214541013;0,011804752;0,274018421
640;0,001796899;0,009138302;0,000936765;0,023558794
641;0;0;0;0
642;0;0;0;0
643;0;0;0;0
644;0;0;0;0
645;0;0;0;0
646;0;0;0;0
647;0;0;0;0
648;0;0;0;0
649;0;0;0;0
650;0;0;0;0
651;0;0;0;0
652;0;0;0;0
653;0;0;0;0
654;0;0;0;0
655;0;0;0;0
656;0,011589751;0;0,01289967;0
657;0,249757678;0;0,238081074;0
658;0,390266763;0,018003901;0,417261671;0,006312416
659;0,486060039;0,017719529;0,5080995;0,013745226
660;0,551121355;0,014103954;0,564757263;0,016411247
661;0,540671092;0,454215632;0,493365592;0,348901539
662;0,458309053;0,412361605;0,42054604;0,282985421
663;0,279527684;0,262515908;0,256566;0,173232135
664;0,026397413;0,027165982;0,014555464;0,011718877
665;0;0;0;0
666;0;0;0;0
667;0;0;0;0
668;0;0;0;0
669;0;0;0;0
670;0;0;0;0
671;0;0;0;0
672;0;0;0;0
673;0;0;0;0
674;0;0;0;0
675;0;0;0;0
676;0;0;0;0
677;0;0;0;0
678;0;0;0;0
679;0;0;0;0
680;0;0;0;0
681;0;0,12705979;0;0,089232004
682;0,010871428;0,171512175;0,00732635;0,126308527
683;0,015023578;0,238955139;0,014754857;0,29574004
684;0,026225827;0,451453777;0,015250883;0,306163816
685;0,274023237;0,452156881;0,315947092;0,585997303
686;0,234324276;0,348533132;0,248607908;0,453151342
687;0,165111509;0,271733329;0,15155145;0,317736158
688;0,01096707;0,042753175;0,007364202;0,018112589
689;0;0;0;0
690;0;0;0;0
691;0;0;0;0
692;0;0;0;0
693;0;0;0;0
694;0;0;0;0
695;0;0;0;0
696;0;0;0;0
697;0;0;0;0
698;0;0;0;0
699;0;0;0;0
700;0;0;0;0
701;0;0;0;0
702;0;0;0;0
703;0;0;0;0
704;0;0;0;0
705;0;0,126671878;0;0,024373144
706;0,005723542;0,236977295;0,007625032;0,097388507
707;0,012887005;0,304957461;0,014360925;0,078632452
708;0,015919315;0,309012355;0,017427836;0,05544587
709;0,309518013;0,291350448;0,296221618;0,324078553
710;0,232756737;0,162737566;0,237334145;0,357442342
711;0,144585652;0,071627404;0,136827896;0,335186171
712;0,010845288;0,0028016;0,008351063;0,074879073
713;0;0;0;0
714;0;0;0;0
715;0;0;0;0
716;0;0;0;0
717;0;0;0;0
718;0;0;0;0
719;0;0;0;0
720;0;0;0;0
721;0;0;0;0
722;0;0;0;0
723;0;0;0;0
724;0;0;0;0
725;0;0;0;0
726;0;0;0;0
727;0;0;0;0
728;0;0,035611969;0,00597117;0,015675298
729;0,024805097;0,215682355;0,019399926;0,169634499
730;0,063382291;0,364237421;0,043868953;0,228857392
731;0,083290765;0,526623434;0,0628605;0,278522629
732;0,095865272;0,482968303;0,100642776;0,451393579
733;0,083969068;0,412072658;0,101215374;0,448730447
734;0,052439132;0,212848504;0,062126574;0,417615632
735;0,021211627;0,098601604;0,018081364;0,290823119
736;0,004160907;0,004407473;0,001518402;0,067076049
737;0;0;0;0
738;0;0;0;0
739;0;0;0;0
740;0;0;0;0
741;0;0;0;0
742;0;0;0;0
743;0;0;0;0
744;0;0;0;0
745;0;0;0;0
746;0;0;0;0
747;0;0;0;0
748;0;0;0;0
749;0;0;0;0
750;0;0;0;0
751;0;0;0;0
752;0,011172848;0,011010917;0;0,089305204
753;0,088106554;0,237596124;0,01673234;0,23657325
754;0,125145995;0,418942382;0,036508981;0,244061562
755;0,14700679;0,506004632;0,045280942;0,296715237
756;0,36722321;0,532216974;0,051574938;0,365436552
757;0,410649592;0,509951171;0,044657538;0,407654171
758;0,326862079;0,396522474;0,032103738;0,408333197
759;0,299436158;0,229722308;0,017715604;0,32664296
760;0,066560904;0,024490481;0,001920987;0,097820001
761;0;0;0;0
762;0;0;0;0
763;0;0;0;0
764;0;0;0;0
765;0;0;0;0
766;0;0;0;0
767;0;0;0;0
768;0;0;0;0
769;0;0;0;0
770;0;0;0;0
771;0;0;0;0
772;0;0;0;0
773;0;0;0;0
774;0;0;0;0
775;0;0;0;0
776;0,020656486;0,015548716;0;0,082931747
777;0,055495232;0,262436447;0,015138916;0,257637513
778;0,128552684;0,432330276;0,056085888;0,39181504
779;0,096066091;0,51227479;0,111400046;0,461436908
780;0,094045626;0,528296921;0,177582237;0,531492198
781;0,067695794;0,498978395;0,309000316;0,518280079
782;0,061445621;0,409243382;0,351254053;0,407935895
783;0,045053637;0,254875417;0,165768624;0,302857776
784;0,006936909;0,028015157;0,023853015;0,095524122
785;0;0;0;0
786;0;0;0;0
787;0;0;0;0
788;0;0;0;0
789;0;0;0;0
790;0;0;0;0
791;0;0;0;0
792;0;0;0;0
793;0;0;0;0
794;0;0;0;0
795;0;0;0;0
796;0;0;0;0
797;0;0;0;0
798;0;0;0;0
799;0;0;0;0
800;0,093582829;0,076523858;0,012622642;0,001976448
801;0,114368499;0,27007429;0,08506442;0,029461314
802;0,180401881;0,394499842;0,198595934;0,058789954
803;0,374333724;0,514677869;0,267146289;0,079672903
804;0,260447526;0,563656855;0,254035303;0,077164358
805;0,187324579;0,44040154;0,218615171;0,061414559
806;0,037687406;0,359597408;0,194211158;0,042561466
807;0,009179449;0,193934491;0,080164836;0,023883667
808;0,001493148;0,044551013;0,003206309;0,00622737
809;0;0;0;0
810;0;0;0;0
811;0;0;0;0
812;0;0;0;0
813;0;0;0;0
814;0;0;0;0
815;0;0;0;0
816;0;0;0;0
817;0;0;0;0
818;0;0;0;0
819;0;0;0;0
820;0;0;0;0
821;0;0;0;0
822;0;0;0;0
823;0;0;0;0
824;0,0112362;0,038825352;0;0,07644394
825;0,132930237;0,198010816;0,015172506;0,219234
826;0,12704775;0,36055575;0,038871849;0,535472448
827;0,119781446;0,279335053;0,050073375;0,500871
828;0,132735198;0,220464434;0,048436248;0,144331137
829;0,117565701;0,145143079;0,041497658;0,022677866
830;0,112859953;0,077918751;0,033434582;0,011263337
831;0,098654337;0,066747083;0,019794099;0,005685016
832;0,04704304;0,003610951;0,00486166;0,000568632
833;5,48E-05;0;0;0
834;0;0;0;0
835;0;0;0;0
836;0;0;0;0
837;0;0;0;0
838;0;0;0;0
839;0;0;0;0
840;0;0;0;0
841;0;0;0;0
842;0;0;0;0
843;0;0;0;0
844;0;0;0;0
845;0;0;0;0
846;0;0;0;0
847;0;0;0;0
848;0,115470833;0,009269191;0,115852243;0,127710885
849;0,215507542;0,022569438;0,238239513;0,34720879
850;0,509069882;0,032005015;0,312217263;0,503062185
851;0,444755013;0,016872672;0,34658996;0,565246066
852;0,140271186;0,016163403;0,384535974;0,350567803
853;0,037253262;0,363425961;0,167524461;0,317627803
854;0,040460578;0,326741684;0,256320636;0,069572747
855;0,055017746;0,258172066;0,229819105;0,029436272
856;0,006904031;0,033821603;0,081938467;0,014120834
857;0;3,60E-05;0;6,27E-05
858;0;0;0;0
859;0;0;0;0
860;0;0;0;0
861;0;0;0;0
862;0;0;0;0
863;0;0;0;0
864;0;0;0;0
865;0;0;0;0
866;0;0;0;0
867;0;0;0;0
868;0;0;0;0
869;0;0;0;0
870;0;0;0;0
871;0;0;0;0
872;0,099650411;0,010806391;0,046890355;0,110940379
873;0,298342974;0,062341358;0,173937166;0,291853698
874;0,445850605;0,121364155;0,260498092;0,523023632
875;0,521261053;0,099000111;0,335073;0,551841316
876;0,546435592;0,297290724;0,657885;0,522958618
877;0,493182592;0,333279841;0,18285649;0,300170566
878;0,387476013;0,300433027;0,322539908;0,289580163
879;0,304779277;0,223911817;0,186377554;0,173588503
880;0,090817362;0,096072688;0,091331447;0,075464625
881;8,52E-05;0,000289718;0,000213231;0,000177166
882;0;0;0;0
883;0;0;0;0
884;0;0;0;0
885;0;0;0;0
886;0;0;0;0
887;0;0;0;0
888;0;0;0;0
889;0;0;0;0
890;0;0;0;0
891;0;0;0;0
892;0;0;0;0
893;0;0;0;0
894;0;0;0;0
895;0;0;0;0
896;0,080122698;0,024877261;0,018120853;0
897;0,320688237;0,096655062;0,018720419;0,016274551
898;0,417134053;0,264705888;0,011147782;0,039819115
899;0,506466947;0,46074825;0,108106287;0,051427575
900;0,393961196;0,441995566;0,340009184;0,056248662
