,0
0,67.7008300000001
1,122.55056000000009
2,135.10040000000006
3,135.1004000000001
4,153.05033000000006
5,147.25031000000007
6,163.30021000000005
7,157.45024000000004
8,171.55019000000004
9,183.65014000000002
10,201.85007000000002
11,168.95006
12,169.25003
13,178.90003000000002
14,167.20005
15,147.75008000000003
16,147.95009000000002
17,167.85004
18,150.15005000000002
19,142.40004000000002
20,117.20003000000001
21,97.60003
22,99.55003
23,119.05003
24,136.75005000000002
25,125.10004
26,125.40001000000001
27,144.90003000000002
28,152.70003
29,148.90001
30,131.5
31,117.45004
32,138.90004000000002
33,133.20002
34,113.40005000000001
35,152.70003
36,174.40003000000002
37,151.25001
38,153.05002000000002
39,162.70006
40,199.60008000000002
41,224.80007
42,221.05008
43,195.55009
44,185.90008999999998
45,170.55009
46,158.70009000000002
47,164.30009
48,148.6501
49,133.10012000000003
50,125.15014000000002
51,127.15014000000002
52,125.35011000000003
53,127.45011000000002
54,167.05005
55,153.55003
56,137.85003
57,151.05009
58,144.85011000000003
59,143.05008
60,137.40006000000002
61,137.55003
62,141.50003
63,155.25003
64,157.00006000000002
65,150.60013000000004
66,172.75010000000003
67,151.00014000000002
68,155.60009000000002
69,169.35006
70,182.85009000000002
71,183.15004000000002
72,186.85006
73,182.95004
74,169.7
75,183.5
76,175.70002
77,163.80004
78,156.10008000000002
79,160.20006
80,179.75006000000002
81,205.50002
82,211.20002
83,205.25005000000002
84,213.30005
85,199.55004
86,185.75006000000002
87,242.90005000000002
88,266.00008
89,248.55006
90,225.25009000000003
91,223.30009
92,213.60009000000002
93,235.45009000000002
94,233.60010000000003
95,235.75007000000002
96,247.45005
97,212.45005
98,194.65007000000003
99,208.50014000000002
100,211.85017000000005
101,208.20017000000004
102,213.90019000000004
103,208.65011
104,210.75007000000002
105,214.55008
106,205.05005
107,214.75006000000002
108,208.90006000000002
109,195.00006000000002
110,212.45006
111,220.00011000000003
112,212.50006000000002
113,202.40013000000002
114,224.35009000000002
115,226.85004
116,222.85008000000002
117,226.65004000000002
118,215.10007000000002
119,219.10007000000002
120,215.25008000000003
121,232.95009000000002
122,209.60010000000003
123,211.45012000000003
124,195.65015000000002
125,208.10006
126,255.05004
127,221.50009000000003
128,229.20010000000002
129,233.45010000000002
130,255.40007000000003
131,220.30007
132,257.55005
133,265.10006
134,270.75012
135,270.9501
136,265.05006000000003
137,276.90009000000003
138,284.75008
139,261.55004
140,255.45004
141,278.85008
142,255.45011000000002
143,263.90005
144,249.90008
145,241.95009000000002
146,228.25009000000003
147,244.05006
148,244.15004000000002
149,267.50004
150,261.50006
151,267.10009
152,265.45009000000005
153,275.50003
154,275.45
155,252.1
156,257.85
157,247.70007
158,245.50007000000002
159,243.4001
160,261.15008
161,239.30012000000002
162,239.60006
163,237.80006
164,247.65006000000002
165,269.10006
166,253.30008
167,261.00007
168,284.95002
169,255.65003000000002
170,237.75008000000003
171,255.80004
172,267.55006000000003
173,255.70006
174,243.95004
175,218.50004
176,222.60002
177,212.85002
178,211.00005000000002
179,238.8
180,234.70004
181,225.05004
182,228.75005000000002
183,228.20008
184,271.20008
185,271.70002
186,277.65
187,291.2
188,292.90007
189,271.65003
190,273.80003
191,252.15005000000002
192,250.05005
193,242.00006000000002
194,234.20003
195,261.45005000000003
196,251.70005
197,261.55003
198,265.45003
199,238.15003000000002
200,243.70005
201,263.10007
202,242.95013000000003
203,242.75017000000003
204,231.75011000000003
205,210.30011000000002
206,223.60015000000004
207,212.70006
208,212.60009000000002
209,232.30009
210,235.80017000000004
211,230.10017000000005
212,274.00007
213,275.00018000000006
214,337.70015
215,325.85018
216,312.55016
217,308.90011
218,310.80010000000004
219,316.75005
220,322.75005
221,318.65007
222,293.20007000000004
223,287.50004
224,273.95004
225,283.75002
226,274.00002
227,262.4
228,250.8
229,217.55005
230,217.40008
231,241.25005000000002
232,249.15005000000002
233,256.80005
234,235.60006
235,220.10006
236,251.30006
237,251.30006
238,260.80011
239,286.15011000000004
240,301.75009
241,294.20008
242,325.35008
243,303.55008000000004
244,352.40008
245,344.4001
246,322.9501
247,334.45011
248,328.40015
249,322.10021000000006
250,338.15014
251,334.7001
252,313.30009
253,319.00008
254,309.45005000000003
255,301.75003
256,284.35003
257,272.65003
258,258.90003
259,221.25008000000003
260,211.65005000000002
261,217.60003
262,235.35001
263,254.90002
264,227.30005
265,215.70003
266,229.35003
267,215.60005
268,231.10007000000002
269,268.40002
270,285.95002
271,297.75
272,321.05003
273,315.10003
274,363.65005
275,353.90005
276,350.15002
277,359.90002
278,354.05002
279,352.10002000000003
280,352.20002
281,367.65002
282,360.1501599999999
283,332.85034
284,311.2506500000001
285,314.9010400000002
286,293.2511700000002
287,275.80137000000025
288,266.05161000000027
289,229.10197000000036
290,230.26216000000036
291,211.8123300000004
292,219.91253000000043
293,267.3026300000005
294,267.70304000000056
295,325.85323000000056
296,294.1534400000006
297,349.8035400000002
298,382.75386000000043
299,404.1742500000002
300,396.1743900000004
301,433.37453999999923
302,447.624949999999
303,435.82508999999914
304,468.77530999999834
305,515.2254799999978
306,505.22556999999784
307,535.8755599999976
308,511.24567999999795
309,477.0961399999987
310,488.5662499999983
311,486.6467499999984
312,479.85700999999796
313,447.3571199999984
314,427.99744999999893
315,431.997559999999
316,463.3276299999995
317,472.3479299999991
318,487.3778699999987
319,540.4576599999976
320,412.39774999999986
321,392.8977599999999
322,361.62780999999995
323,398.49781999999993
324,456.33758999999935
325,501.7674799999966
326,621.0974099999959
327,610.067319999996
328,682.2672299999962
329,712.4272099999966
330,673.2271699999957
331,609.277229999996
332,673.527179999996
333,653.377199999996
334,687.1771699999964
335,674.4871299999963
336,670.6871099999963
337,707.3870499999964
338,733.7271499999966
339,736.4070999999967
340,724.8771399999974
341,678.3570999999974
342,616.7770399999977
343,633.6270499999974
344,664.2070999999976
345,681.107059999997
346,674.2070099999977
347,620.0969999999976
348,655.2469899999965
349,619.8968899999975
350,583.8767599999974
351,595.5166599999968
352,530.2066799999986
353,624.9465799999963
354,614.6666099999952
355,607.1665599999953
356,549.8666899999957
357,549.1865799999957
358,617.6964199999952
359,669.9463599999948
360,671.8963599999947
361,691.866409999995
362,647.3464399999954
363,689.686389999995
364,693.746439999995
365,666.1563899999956
366,642.7263699999955
367,637.3563599999958
368,483.95651999999814
369,554.1265499999972
370,499.7266599999981
371,509.6065499999979
372,540.9863099999977
373,524.8563399999982
374,510.43626999999833
375,510.5662899999981
376,488.8862599999985
377,517.1860899999983
378,538.365999999998
379,513.4358899999984
380,511.7559799999984
381,481.90599999999887
382,553.2658499999983
383,559.9658199999983
384,525.9159899999987
385,461.1459799999991
386,509.6959299999991
387,530.3059799999984
388,521.086159999998
389,537.046039999998
390,536.896039999998
391,504.35628999999807
392,481.58620999999795
393,465.83622999999795
394,517.416229999998
395,486.14609999999817
396,485.62619999999805
397,491.686209999998
398,491.25624999999803
399,546.9062199999978
400,630.4662999999972
401,679.9763599999968
402,645.2764499999969
403,683.2462299999964
404,684.3362399999965
405,675.4862399999968
406,663.7862399999967
407,682.3862599999966
408,694.3962399999966
409,674.0261999999965
410,729.9261599999977
411,812.5362599999982
412,884.5860799999989
413,926.2361199999982
414,796.5161399999971
415,751.7261999999962
416,592.4163399999962
417,530.4364099999974
418,555.5562699999971
419,589.0062399999965
420,585.9563099999964
421,592.1162999999967
422,565.4063799999971
423,666.4963299999948
424,669.1963299999946
425,647.3964999999946
426,662.1964399999944
427,609.6464099999951
428,593.4564599999952
429,555.5164899999959
430,553.4363799999966
431,555.5964799999962
432,608.1364899999958
433,578.0565499999962
434,563.4365199999962
435,577.1265599999961
436,666.616329999996
437,660.7662899999963
438,675.8863399999963
439,702.9262199999969
440,693.1762199999976
441,673.296159999997
442,651.8461599999969
443,692.0160999999974
444,612.596199999997
445,623.8961799999969
446,698.6662699999974
447,630.2165299999967
448,780.5364499999955
449,824.2065599999955
450,744.3266799999963
451,720.0068599999967
452,642.3270199999964
453,657.5670399999958
454,696.6471599999969
455,665.1971499999968
456,712.6070499999972
457,746.2870599999967
458,799.1369199999955
459,815.8068499999955
460,750.1769499999941
461,732.0470099999957
462,676.9967499999963
463,583.2765599999968
464,546.0763499999973
465,594.4461699999965
466,636.5660899999965
467,691.1559099999968
468,663.5958499999974
469,621.8755899999976
470,732.4053999999971
471,601.9754099999969
472,575.4251899999972
473,553.1249699999977
474,531.9847299999977
475,530.394539999998
476,598.2844899999973
477,510.0742799999976
478,523.4440199999979
479,487.7339599999968
480,415.67359999999854
481,477.70344999999793
482,463.05339999999757
483,454.7429799999978
484,494.55296999999797
485,505.30258999999836
486,500.3525099999985
487,521.7523299999982
488,526.5220599999983
489,489.39215999999834
490,498.4218399999987
491,500.1716499999987
492,520.251569999998
493,512.8011799999985
494,506.80078999999864
495,508.65069999999866
496,489.350439999999
497,526.8
498,524.75002
499,505.20005000000003
500,499.45002999999997
501,439.00003
502,417.55003
503,427.20004
504,392.20004
505,364.90004
506,394.30002
507,363.10002000000003
508,353.40001000000007
509,386.85002000000003
510,386.80004
511,449.40002
512,435.50003
513,439.55
514,476.45002999999997
515,486.20002999999997
516,488.15002999999996
517,503.9
518,505.85
519,519.5
520,525.35
521,531.15003
522,562.5
523,533.1500100000001
524,517.2000299999999
525,524.8500599999999
526,490.10002999999995
527,517.40003
528,519.35003
529,484.55
530,482.40002999999996
531,420.00003
532,386.55006000000003
533,400.20006
534,373.20002999999997
535,340.05003
536,396.60002999999995
537,377.20002999999997
538,378.95005000000003
539,367.05006000000003
540,370.45014000000003
541,431.55003999999985
542,462.95001
543,466.95001
544,531.30001
545,527.20001
546,486.1000199999999
547,481.85006999999996
548,490.05002
549,509.40005
550,519.8000799999998
551,537.2500799999998
552,549.15003
553,539.40003
554,529.7500299999999
555,551.35
556,527.95
557,541.40003
558,560.80002
559,543.3
560,556.95
561,476.95
562,451.6
563,457.45
564,426.15002
565,402.75002
566,463.20002
567,457.35002000000003
568,439.50005000000004
569,422.2
570,426.1
571,494.35
572,509.90001000000007
573,491.9500699999999
574,554.35007
575,556.85001
576,523.6
577,523.55
578,517.85
579,535.55
580,551.25002
581,547.1500599999998
582,559.35
583,563.25
584,543.65
585,559.4
586,518.3
587,522.2
588,541.5500299999999
589,535.7000299999999
590,533.7500299999999
591,479.00005999999985
592,467.2000299999999
593,459.2000499999998
594,444.0
595,408.65002999999996
596,461.15002999999996
597,439.2000699999998
598,408.3500499999999
599,394.75003999999984
600,392.80003999999985
601,463.1500399999999
602,473.05003999999985
603,461.35003999999986
604,517.9000399999999
605,523.7500399999999
606,490.60003999999986
607,506.10005999999987
608,523.4500699999998
609,548.8000599999999
610,552.8000399999999
611,562.5500399999999
612,564.2000699999999
613,576.0000799999999
614,542.6501199999999
615,564.2501099999998
616,525.4500699999999
617,535.60003
618,533.60004
619,531.85004
620,525.95003
621,481.3
622,457.95
623,461.70002999999997
624,450.55
625,419.2
626,483.45
627,475.55
628,463.85
629,438.5
630,446.3
631,491.00002
632,504.95
633,487.2500299999999
634,539.7500599999998
635,539.7500599999998
636,507.00001
637,505.15
638,509.15
639,536.3
640,546.05
641,559.55003
642,579.3503899999993
643,575.5505899999989
644,546.3008699999984
645,569.6010299999983
646,529.4215299999978
647,543.1715199999977
648,554.8719699999978
649,554.7720699999982
650,562.8721399999978
651,484.3225999999984
652,496.00284999999815
653,499.92302999999816
654,466.47321999999883
655,427.5734199999994
656,499.7037299999976
657,496.1539999999978
658,472.30420999999865
659,461.4444499999987
660,509.39482999999666
661,571.1750999999964
662,596.8252899999965
663,591.1052199999967
664,655.7053699999957
665,662.1055699999961
666,630.9057099999961
667,692.6059899999954
668,746.456159999995
669,806.3563999999953
670,899.3064299999965
671,876.4068399999957
672,925.2870799999957
673,1014.1373599999964
674,982.3076099999967
675,997.2878199999961
676,1070.1077499999963
677,1091.1379199999956
678,1181.9878599999952
679,1176.9877799999952
680,1262.3476299999957
681,1174.3976499999965
682,1157.8975899999964
683,1198.4775099999968
684,1141.677509999997
685,1158.5573499999969
686,1109.9774099999968
687,1083.0974699999965
688,1035.8474899999962
689,1037.0973699999965
690,1034.0574199999967
691,1066.8574499999966
692,1148.0974999999971
693,1144.3474999999971
694,1251.5574299999976
695,1326.4573499999972
696,1367.2472699999967
697,1439.1071799999952
698,1446.887119999995
699,1507.387099999995
700,1477.5069199999946
701,1482.276989999995
702,1455.2168599999945
703,1506.9168099999938
704,1514.056759999994
705,1495.6968399999937
706,1535.8967799999946
707,1505.1467699999953
708,1572.0365299999949
709,1569.1365199999946
710,1687.416379999994
711,1580.066399999994
712,1576.4464999999939
713,1614.3065699999936
714,1575.4065699999937
715,1631.7665199999933
716,1641.616499999993
717,1664.8665199999928
718,1615.1364299999934
719,1647.5462699999935
720,1611.0962699999927
721,1578.5963999999926
722,1583.1364599999924
723,1569.256319999993
724,1617.776389999993
725,1639.3262799999936
726,1653.1263199999937
727,1763.3662199999942
728,1773.1162199999949
729,1723.816279999994
730,1724.4662599999945
731,1728.316309999994
732,1670.2262999999946
733,1665.6763299999946
734,1643.7763499999946
735,1644.2263699999955
736,1550.2563999999963
737,1577.0063299999954
738,1629.5263699999953
739,1628.696409999995
740,1569.1963799999962
741,1537.8664599999966
742,1535.3164199999967
743,1526.9363499999963
744,1458.4663099999975
745,1411.1163399999973
746,1488.3162999999965
747,1479.1063699999963
748,1495.0364199999958
749,1458.666349999996
750,1449.4062999999962
751,1537.5861999999947
752,1537.9862399999952
753,1459.7462899999955
754,1488.5262499999944
755,1463.7362299999963
756,1499.5861399999962
757,1508.9062399999955
758,1613.1760999999935
759,1632.426219999994
760,1628.2861599999947
761,1626.586169999995
762,1632.4361599999945
763,1722.5561899999936
764,1798.4461799999947
765,1770.7662899999937
766,1696.716389999994
767,1635.366289999994
768,1597.0062999999946
769,1606.8963799999945
770,1582.3763399999946
771,1490.1362899999967
772,1354.0064099999984
773,1324.5064499999985
774,1299.4963999999986
775,1224.9664299999986
776,1232.5164699999984
777,1240.7364499999983
778,1236.2864599999984
779,1115.5964699999977
780,1162.9966099999983
781,1149.1166899999976
782,1195.2967199999978
783,1177.976709999998
784,1207.336619999998
785,1246.786609999998
786,1139.7967699999974
787,1165.1467699999973
788,1182.3368199999977
789,1270.6469499999976
790,1302.0870199999974
791,1312.4071199999973
792,1400.696879999997
793,1383.7169899999974
794,1384.1168099999966
795,1524.366689999995
796,1529.426619999995
797,1469.6066299999954
798,1472.8866599999956
799,1409.8867099999957
800,1448.6267399999954
801,1402.2267399999962
802,1300.4768399999966
803,1323.6768299999965
804,1309.7768899999965
805,1271.3568299999968
806,1333.4067899999966
807,1311.5566999999967
808,1205.9767099999967
809,1191.1266099999968
810,1160.4866999999972
811,1199.9867999999979
812,1359.5366699999972
813,1301.966719999998
814,1314.3567699999983
815,1310.2466399999983
816,1278.096779999998
817,1238.0169299999977
818,1320.3869699999975
819,1357.3067799999967
820,1251.196869999998
821,1284.246839999998
822,1241.6967099999983
823,1155.8568399999976
824,1176.0066599999982
825,1108.916489999999
826,987.506289999999
827,957.3960399999986
828,950.4358699999987
829,1002.1657099999991
830,1054.5053900000003
831,933.5052699999982
832,874.015059999998
833,891.3850599999979
834,964.9848199999988
835,913.2347099999984
836,949.6745399999984
837,882.4343899999992
838,816.0042599999982
839,831.5940899999983
840,890.84398
841,900.6636500000005
842,863.9134299999996
843,933.3330000000003
844,883.4826100000001
845,841.7323099999993
846,727.9618699999982
847,777.2717599999995
